bitki;ara_baglanti;sonuc;tip
kuşkonmaz;birlikte ekilebilir;domates;sebze
kuşkonmaz;birlikte ekilebilir;maydanoz;sebze
pancar;birlikte ekilebilir;brokoli;sebze
pancar;birlikte ekilebilir;lahana;sebze
pancar;birlikte ekilebilir;marul;sebze
pancar;birlikte ekilebilir;soğan;sebze
pancar;birlikte ekilebilir;pirinç;sebze
pancar;birlikte ekilebilir;çarkıfelek meyvesi;sebze
pirinç;birlikte ekilebilir;pancar;sebze
pirinç;birlikte ekilebilir;soğan;sebze
pirinç;birlikte ekilebilir;patates;sebze
pirinç;birlikte ekilebilir;mısır;sebze
brokoli;birlikte ekilebilir;marul;sebze
lahana;birlikte ekilebilir;fasulye;sebze
lahana;birlikte ekilebilir;kereviz;sebze
havuç;birlikte ekilebilir;domates;sebze
havuç;birlikte ekilebilir;fasulye;sebze
havuç;birlikte ekilebilir;pırasa;sebze
havuç;birlikte ekilebilir;marul;sebze
havuç;birlikte ekilebilir;soğan;sebze
havuç;birlikte ekilebilir;çarkıfelek meyvesi;sebze
karnabahar;birlikte ekilebilir;fasulye;sebze
karnabahar;birlikte ekilebilir;kereviz;sebze
karnabahar;birlikte ekilebilir;ıspanak;sebze
karnabahar;birlikte ekilebilir;bezelye;sebze
kereviz;birlikte ekilebilir;fasulye;sebze
kereviz;birlikte ekilebilir;pirinç;sebze
kereviz;birlikte ekilebilir;salatalık;sebze
pazı;birlikte ekilebilir;pirinç;sebze
pazı;birlikte ekilebilir;çarkıfelek meyvesi;sebze
mısır;birlikte ekilebilir;fasulye;sebze
mısır;birlikte ekilebilir;kabak;sebze
mısır;birlikte ekilebilir;soya fasulye;sebze
mısır;birlikte ekilebilir;domates;sebze
mısır;birlikte ekilebilir;fasulye;sebze
mısır;birlikte ekilebilir;kabak;sebze
mısır;birlikte ekilebilir;soya fasulye;sebze
mısır;birlikte ekilebilir;domates;sebze
salatalık;birlikte ekilebilir;fasulye;sebze
salatalık;birlikte ekilebilir;marul;sebze
patlıcan;birlikte ekilebilir;fasulye;sebze
patlıcan;birlikte ekilebilir;biber;sebze
patlıcan;birlikte ekilebilir;domates;sebze
patlıcan;birlikte ekilebilir;çarkıfelek meyvesi;sebze
patlıcan;birlikte ekilebilir;fasulye;sebze
patlıcan;birlikte ekilebilir;biber;sebze
patlıcan;birlikte ekilebilir;domates;sebze
patlıcan;birlikte ekilebilir;çarkıfelek meyvesi;sebze
pırasa;birlikte ekilebilir;havuç;sebze
pırasa;birlikte ekilebilir;kereviz;sebze
pırasa;birlikte ekilebilir;soğan;sebze
pırasa;birlikte ekilebilir;domates;sebze
pırasa;birlikte ekilebilir;çarkıfelek meyvesi;sebze
baklagiller;birlikte ekilebilir;pancar;sebze
baklagiller;birlikte ekilebilir;marul;sebze
baklagiller;birlikte ekilebilir;bamya;sebze
baklagiller;birlikte ekilebilir;patates;sebze
baklagiller;birlikte ekilebilir;ıspanak;sebze
baklagiller;birlikte ekilebilir;dereotu;sebze
baklagiller;birlikte ekilebilir;lahana;sebze
baklagiller;birlikte ekilebilir;havuç;sebze
baklagiller;birlikte ekilebilir;pazı;sebze
